DATASOURCE,AWS,AZURE,AZURE-AD,GCP,LINUX,MACOS,OFFICE-365,SAAS,WINDOWS
access-tokens,0,0,0,0,0,0,0,0,2
anti-virus,1,1,0,1,5,5,2,2,6
api-monitoring,3,3,2,3,29,30,3,3,42
application-logs,3,3,0,3,9,9,1,2,9
asset-management,1,1,0,1,1,1,0,0,1
authentication-logs,10,10,7,10,20,18,11,9,29
aws-cloudtrail-logs,19,19,8,19,13,13,9,8,13
azure-activity-logs,17,18,7,17,11,11,8,7,11
binary-file-metadata,0,0,0,0,11,11,0,0,12
bios,0,0,0,0,4,2,0,0,4
browser-extensions,0,0,0,0,1,1,0,0,1
component-firmware,0,0,0,0,3,1,0,0,3
data-loss-prevention,1,1,0,1,5,5,1,1,7
detonation-chamber,0,0,0,0,1,1,1,1,1
digital-certificate-logs,0,0,0,0,0,0,0,0,0
disk-forensics,0,0,0,0,2,0,0,0,2
dll-monitoring,0,0,0,0,13,13,0,0,17
dns-records,0,0,0,0,3,3,1,1,3
efi,0,0,0,0,2,0,0,0,2
email-gateway,0,0,0,0,2,2,2,1,4
environment-variable,1,1,0,1,5,5,0,0,5
file-monitoring,5,5,2,5,59,63,7,5,75
gcp-audit-logs,2,2,0,2,1,1,0,0,1
host-network-interface,0,0,0,0,4,4,0,0,4
kernel-drivers,0,0,0,0,5,5,0,0,5
loaded-dlls,0,0,0,0,9,9,0,0,10
mail-server,0,0,0,0,2,2,4,2,4
malware-reverse-engineering,0,0,0,0,3,3,0,0,3
mbr,0,0,0,0,3,1,0,0,3
named-pipes,0,0,0,0,2,2,0,0,2
netflow-enclave-netflow,3,3,2,3,29,29,2,2,30
network-device-logs,3,3,2,3,7,7,2,3,8
network-intrusion-detection-system,2,2,2,2,7,7,3,4,8
network-protocol-analysis,6,6,2,6,21,21,2,2,23
oauth-audit-logs,1,2,1,1,1,1,4,4,3
office-365-account-logs,4,4,4,4,4,4,4,3,4
office-365-audit-logs,1,1,1,1,0,0,3,2,2
office-365-trace-logs,0,0,0,0,1,1,2,1,2
packet-capture,3,3,0,3,29,29,1,2,33
powershell-logs,0,0,0,0,7,8,0,0,9
process-command-line-parameters,12,12,5,12,59,62,6,4,78
process-monitoring,16,16,9,16,103,107,11,8,131
process-use-of-network,4,4,0,4,31,31,1,1,35
sensor-health-and-status,1,1,1,1,1,1,1,1,1
services,1,1,0,1,2,2,0,0,2
ssl-tls-inspection,1,1,1,1,10,10,3,4,10
stackdriver-logs,17,17,7,17,11,11,8,8,11
system-calls,0,0,0,0,6,6,0,0,6
third-party-application-logs,2,2,0,2,4,4,1,2,4
user-interface,0,0,0,0,3,3,0,0,3
vbr,0,0,0,0,2,0,0,0,2
web-application-firewall-logs,3,3,1,3,3,3,1,1,3
web-logs,3,3,1,3,4,4,1,1,5
web-proxy,0,0,0,0,4,4,2,3,4
windows-error-reporting,0,0,0,0,4,4,0,0,4
windows-event-logs,2,2,2,2,20,20,2,0,29
windows-registry,2,2,1,2,18,19,2,1,24
wmi-objects,0,0,0,0,2,2,0,0,2
