ADVERSARY_NAME,ADVERSARY_TECHNIQUES_ITEMS
apt32,40
lazarus-group,39
apt28,32
unc2452,31
wizard-spider,31
apt41,30
turla,29
oilrig,29
muddywater,27
patchwork,26
bronze-butler,25
apt39,25
apt3,25
fin6,24
dragonfly-2.0,24
threat-group-3390,23
cobalt-group,23
menupass,22
rocke,22
apt33,22
apt29,22
tropic-trooper,20
ta505,20
leviathan,20
ke3chang,19
magic-hound,18
fin7,18
fin8,17
silence,16
sandworm-team,16
soft-cell,15
apt1,15
temp.veles,13
kimsuky,13
gamaredon-group,13
blue-mockingbird,13
apt37,13
inception,12
machete,11
honeybee,11
gorgon-group,11
fin4,11
apt19,11
promethium,10
molerats,10
leafminer,10
frankenstein,10
apt38,10
night-dragon,9
chimera,9
darkhotel,8
stolen-pencil,7
rancor,7
fin10,7
deep-panda,7
dark-caracal,7
admin@338,6
windshift,6
platinum,6
copykittens,6
carbanak,6
apt18,6
the-white-company,5
stealth-falcon,5
sharpshooter,5
rtm,5
naikon,5
gallmaker,5
elderwood,5
blacktech,5
apt-c-36,5
whitefly,4
wirte,4
ta459,4
sowbug,4
poseidon-group,4
mofang,4
fin5,4
darkhydrus,4
cleaver,4
apt12,4
threat-group-1314,3
strider,3
silverterrier,3
putter-panda,3
equation,3
axiom,3
thrip,2
suckfly,2
orangeworm,2
group5,2
gcman,2
darkvishnya,2
apt30,2
winnti-group,1
scarlet-mimic,1
moafee,1
gold-southfield,1
dragonfly,1
apt17,1
apt16,1
taidoor,0
pittytiger,0
neodymium,0
monsoon,0
lotus-blossom,0
dust-storm,0
dragonok,0
charming-kitten,0
blackoasis,0
apt34,0
