INDEX,ADVERSARY,TACTICS,TECHNIQUES,SUBTECHNIQUES,(%) TECHNIQUES,(%) SUBTECHNIQUES
1,apt-c-36,6,3,5,2%,2%
2,apt1,8,7,15,4%,4%
3,apt12,3,1,4,1%,1%
4,apt16,1,0,1,0%,1%
5,apt17,1,1,1,1%,1%
6,apt18,7,6,6,3%,2%
7,apt19,7,8,11,4%,3%
8,apt28,12,26,32,13%,7%
9,apt29,8,5,22,3%,5%
10,apt3,11,15,25,8%,6%
11,apt30,2,0,2,0%,1%
12,apt32,11,26,40,13%,9%
13,apt33,10,8,22,4%,5%
14,apt34,0,0,0,0%,0%
15,apt37,10,13,13,7%,3%
16,apt38,8,9,10,5%,3%
17,apt39,10,14,25,7%,6%
18,apt41,11,22,30,11%,7%
19,axiom,6,3,3,2%,1%
20,bronze-butler,10,14,25,7%,6%
21,blackoasis,1,1,0,1%,0%
22,blacktech,3,2,5,1%,2%
23,blue-mockingbird,10,8,13,4%,3%
24,carbanak,5,2,6,1%,2%
25,charming-kitten,0,0,0,0%,0%
26,chimera,10,7,9,4%,2%
27,cleaver,3,0,4,0%,1%
28,cobalt-group,8,9,23,5%,5%
29,copykittens,3,0,6,0%,2%
30,dark-caracal,8,5,7,3%,2%
31,darkhydrus,4,2,4,1%,1%
32,darkvishnya,7,7,2,4%,1%
33,darkhotel,9,8,8,4%,2%
34,deep-panda,6,3,7,2%,2%
35,dragonok,0,0,0,0%,0%
36,dragonfly,1,2,1,1%,1%
37,dragonfly-2.0,10,20,24,10%,6%
38,dust-storm,3,3,0,2%,0%
39,elderwood,4,5,5,3%,2%
40,equation,3,1,3,1%,1%
41,fin10,7,3,7,2%,2%
42,fin4,9,1,11,1%,3%
43,fin5,9,6,4,3%,1%
44,fin6,11,16,24,8%,6%
45,fin7,9,6,18,3%,4%
46,fin8,11,7,17,4%,4%
47,frankenstein,10,15,10,8%,3%
48,gcman,1,0,2,0%,1%
49,gold-southfield,2,4,1,2%,1%
50,gallmaker,4,1,5,1%,2%
51,gamaredon-group,10,21,13,11%,3%
52,gorgon-group,6,4,11,2%,3%
53,group5,3,2,2,1%,1%
54,honeybee,8,10,11,5%,3%
55,inception,9,9,12,5%,3%
56,ke3chang,11,12,19,6%,5%
57,kimsuky,10,7,13,4%,3%
58,lazarus-group,12,24,39,12%,9%
59,leafminer,8,6,10,3%,3%
60,leviathan,10,8,20,4%,5%
61,lotus-blossom,0,0,0,0%,0%
62,monsoon,0,0,0,0%,0%
63,machete,7,2,11,1%,3%
64,magic-hound,9,10,18,5%,4%
65,moafee,1,0,1,0%,1%
66,mofang,3,1,4,1%,1%
67,molerats,8,5,10,3%,3%
68,muddywater,10,14,27,7%,6%
69,neodymium,0,0,0,0%,0%
70,naikon,6,1,5,1%,2%
71,night-dragon,10,5,9,3%,2%
72,oilrig,11,22,29,11%,7%
73,orangeworm,2,0,2,0%,1%
74,platinum,7,5,6,3%,2%
75,promethium,7,1,10,1%,3%
76,patchwork,11,12,26,6%,6%
77,pittytiger,4,1,0,1%,0%
78,poseidon-group,4,4,4,2%,1%
79,putter-panda,3,1,3,1%,1%
80,rtm,6,2,5,1%,2%
81,rancor,6,1,7,1%,2%
82,rocke,10,14,22,7%,5%
83,sandworm-team,11,15,16,8%,4%
84,scarlet-mimic,1,0,1,0%,1%
85,sharpshooter,6,3,5,2%,2%
86,silence,10,11,16,6%,4%
87,silverterrier,1,0,3,0%,1%
88,soft-cell,11,12,15,6%,4%
89,sowbug,5,5,4,3%,1%
90,stealth-falcon,8,10,5,5%,2%
91,stolen-pencil,8,2,7,1%,2%
92,strider,3,0,3,0%,1%
93,suckfly,7,3,2,2%,1%
94,ta459,2,1,4,1%,1%
95,ta505,9,4,20,2%,5%
96,temp.veles,10,3,13,2%,3%
97,taidoor,0,0,0,0%,0%
98,the-white-company,4,2,5,1%,2%
99,threat-group-1314,6,1,3,1%,1%
100,threat-group-3390,11,19,23,10%,5%
101,thrip,3,1,2,1%,1%
102,tropic-trooper,10,19,20,10%,5%
103,turla,12,25,29,13%,7%
104,wirte,3,2,4,1%,1%
105,whitefly,6,4,4,2%,1%
106,windshift,3,2,6,1%,2%
107,winnti-group,2,2,1,1%,1%
108,wizard-spider,13,16,31,8%,7%
109,admin@338,4,6,6,3%,2%
110,menupass,10,14,22,7%,5%
